GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  ,POP
00959,16618004.0,81792,6.416,0.032,18.385785,-66.155654,50560.0
00960,2408386.0,2485,0.93,0.001,18.416919,-66.145795,1779.0
00961,13394693.0,168929,5.172,0.065,18.413307,-66.164683,32429.0
00962,9905634.0,1102328,3.825,0.426,18.444614,-66.148819,22491.0
00965,1748732.0,328835,0.675,0.127,18.433757,-66.114752,9134.0
00966,8339816.0,4490,3.22,0.002,18.401521,-66.117597,16676.0
00968,1185643.0,0,0.458,0.0,18.406085,-66.101232,3478.0
00969,12648267.0,39798,4.884,0.015,18.368062,-66.108062,42219.0
00971,41327246.0,94183,15.957,0.036,18.318884,-66.11919,30986.0
00976,43351332.0,735152,16.738,0.284,18.33618,-65.994101,65136.0
00979,4026657.0,504454,1.555,0.195,18.444394,-66.030036,17030.0
00982,3672331.0,19112,1.418,0.007,18.411261,-65.992045,16428.0
00983,8964405.0,616660,3.461,0.238,18.417816,-65.975819,39234.0
00985,21068678.0,747164,8.135,0.288,18.410774,-65.947927,36553.0
00987,64350353.0,422661,24.846,0.163,18.338161,-65.941083,63661.0
01001,29731610.0,2118827,11.479,0.818,42.062368,-72.625754,16769.0
01002,142617829.0,4276681,55.065,1.651,42.36406,-72.458741,29049.0
01003,1842386.0,12788,0.711,0.005,42.389941,-72.524108,10372.0
01005,114637908.0,666424,44.262,0.257,42.418848,-72.106598,5079.0
01007,136236049.0,6944239,52.601,2.681,42.27901,-72.400468,14649.0
01008,139346414.0,5108939,53.802,1.973,42.190191,-72.954263,1263.0
01009,2104271.0,0,0.812,0.0,42.209669,-72.339743,741.0
01010,90060192.0,1415647,34.772,0.547,42.128176,-72.205352,3609.0
01011,81830551.0,342669,31.595,0.132,42.300281,-72.968716,1370.0
01012,33971460.0,543537,13.116,0.21,42.375425,-72.858192,661.0
01013,14567306.0,1731911,5.624,0.669,42.154904,-72.602804,23188.0
01020,32307392.0,1170576,12.474,0.452,42.172602,-72.562073,29668.0
01022,12332152.0,2118,4.761,0.001,42.197741,-72.542713,2451.0
01026,62173902.0,332330,24.005,0.128,42.465495,-72.918267,946.0
01027,104893841.0,1205216,40.5,0.465,42.295008,-72.751877,17660.0
01028,33504925.0,181924,12.936,0.07,42.062378,-72.498111,15720.0
01029,41050306.0,5314948,15.85,2.052,42.193395,-73.044647,789.0
01030,30716069.0,445494,11.86,0.172,42.072925,-72.686972,11669.0
01031,21012723.0,0,8.113,0.0,42.32938,-72.198156,1308.0
01032,30467674.0,887485,11.764,0.343,42.457613,-72.81478,570.0
01033,72039174.0,666977,27.814,0.258,42.244949,-72.500143,6227.0
01034,185541250.0,5090992,71.638,1.966,42.093912,-72.961103,2021.0
01035,59784992.0,3940203,23.083,1.521,42.356491,-72.568632,5250.0
01036,50452198.0,89778,19.48,0.035,42.071188,-72.417718,5109.0
01037,36534058.0,3961965,14.106,1.53,42.372728,-72.195412,838.0
01038,25871792.0,2247127,9.989,0.868,42.385496,-72.606929,2545.0
01039,34227578.0,599161,13.215,0.231,42.404287,-72.688924,1336.0
01040,55069485.0,4074018,21.262,1.573,42.211656,-72.642448,39880.0
01050,99264985.0,2581165,38.326,0.997,42.286762,-72.869695,2530.0
01053,13289899.0,251887,5.131,0.097,42.356301,-72.713584,1685.0
01054,59027067.0,425597,22.79,0.164,42.468898,-72.484579,1851.0
01056,70461231.0,2938128,27.205,1.134,42.183577,-72.457812,21103.0
01057,116445834.0,1476587,44.96,0.57,42.093596,-72.321494,8534.0
01060,28279225.0,3264281,10.919,1.26,42.321488,-72.630588,15284.0
01062,47016503.0,396837,18.153,0.153,42.328308,-72.703924,11150.0
01063,100502.0,0,0.039,0.0,42.318882,-72.63853,430.0
01066,1842125.0,117510,0.711,0.045,42.406909,-72.655015,64.0
01068,53925827.0,1033076,20.821,0.399,42.350862,-72.044248,1902.0
01069,72720237.0,751921,28.077,0.29,42.187794,-72.308469,8469.0
01070,53343558.0,596478,20.596,0.23,42.518446,-72.919017,629.0
01071,40311508.0,814201,15.564,0.314,42.160064,-72.87384,1596.0
01072,51988078.0,1360921,20.073,0.525,42.456968,-72.417244,1478.0
01073,72914121.0,2084351,28.152,0.805,42.226949,-72.741588,5792.0
01074,220751.0,52379,0.085,0.02,42.387603,-72.09323,319.0
01075,45886333.0,1773572,17.717,0.685,42.256208,-72.58103,17527.0
01077,79829479.0,2141671,30.822,0.827,42.05257,-72.777353,9502.0
01079,2921898.0,108238,1.128,0.042,42.197913,-72.329709,692.0
01080,4472228.0,256694,1.727,0.099,42.185727,-72.361558,2334.0
01081,37583364.0,564877,14.511,0.218,42.061313,-72.234411,1698.0
01082,119451476.0,16197982,46.12,6.254,42.293533,-72.278599,10322.0
01083,40805728.0,156565,15.755,0.06,42.203642,-72.194599,2888.0
01084,23799816.0,221546,9.189,0.086,42.39237,-72.882235,176.0
01085,154634279.0,2962351,59.705,1.144,42.153503,-72.771602,41117.0
01086,96152.0,0,0.037,0.0,42.130446,-72.793967,687.0
01088,13457389.0,36980,5.196,0.014,42.391709,-72.646494,670.0
01089,43338244.0,2059804,16.733,0.795,42.125451,-72.649734,28391.0
01092,17375639.0,80681,6.709,0.031,42.191868,-72.235108,1394.0
01093,13060370.0,16677,5.043,0.006,42.441943,-72.661817,325.0
01094,2957301.0,172820,1.142,0.067,42.359108,-72.1368,351.0
01095,58261400.0,746635,22.495,0.288,42.138499,-72.420715,14319.0
01096,82011336.0,533919,31.665,0.206,42.397138,-72.763554,2217.0
01097,4852535.0,208842,1.874,0.081,42.178038,-72.832612,111.0
01098,81230325.0,385282,31.363,0.149,42.394315,-72.943115,1101.0
01103,1191846.0,205067,0.46,0.079,42.104106,-72.592027,2479.0
01104,13509673.0,212850,5.216,0.082,42.134009,-72.565378,22865.0
01105,3219039.0,306963,1.243,0.119,42.099958,-72.580765,12350.0
01106,24016468.0,1344937,9.273,0.519,42.047565,-72.57113,16021.0
01107,3903488.0,89142,1.507,0.034,42.12106,-72.607068,11611.0
01108,9648043.0,406406,3.725,0.157,42.080692,-72.560791,26688.0
01109,14094961.0,487888,5.442,0.188,42.119674,-72.549726,30250.0
01118,9312204.0,260881,3.595,0.101,42.094194,-72.525081,14071.0
01119,9194299.0,241735,3.55,0.093,42.124978,-72.51121,14152.0
01128,2887360.0,1287,1.115,0.0,42.092296,-72.489135,2631.0
01129,8875270.0,237886,3.427,0.092,42.11869,-72.4882,7019.0
01151,6135193.0,479252,2.369,0.185,42.15186,-72.509131,8698.0
01199,28277.0,0,0.011,0.0,42.120563,-72.604468,0.0
01201,137100028.0,6754457,52.935,2.608,42.448236,-73.273727,46504.0
01220,63690793.0,189771,24.591,0.073,42.623799,-73.116736,8603.0
01222,8566364.0,332862,3.307,0.129,42.058703,-73.322175,829.0
01223,180705971.0,5297500,69.771,2.045,42.312225,-73.110124,2314.0
01224,720507.0,82246,0.278,0.032,42.513163,-73.195743,182.0
01225,65032902.0,1827513,25.109,0.706,42.563401,-73.153335,3117.0
01226,68283556.0,366482,26.364,0.141,42.481119,-73.135073,6945.0
01229,1897309.0,1745,0.733,0.001,42.276338,-73.335896,95.0
01230,237030361.0,4523580,91.518,1.747,42.173195,-73.32429,8430.0
01235,118234582.0,2794600,45.651,1.079,42.425677,-73.063028,2766.0
01236,12442176.0,157973,4.804,0.061,42.266496,-73.378393,1509.0
01237,160145850.0,1132956,61.833,0.437,42.547818,-73.268033,2496.0
01238,90221001.0,2706102,34.835,1.045,42.297501,-73.230148,6047.0
01240,55363291.0,1159119,21.376,0.448,42.367858,-73.269763,4534.0
01242,1289553.0,25165,0.498,0.01,42.333734,-73.249199,476.0
01243,48260334.0,57174,18.633,0.022,42.350122,-73.024112,334.0
01244,6345196.0,70886,2.45,0.027,42.118094,-73.257497,151.0
01245,72481256.0,2048210,27.985,0.791,42.186893,-73.223105,985.0
01247,136067563.0,1474691,52.536,0.569,42.698526,-73.0843,16087.0
01253,47370578.0,1047605,18.29,0.404,42.206683,-73.113214,731.0
01254,37764321.0,148218,14.581,0.057,42.382019,-73.365492,972.0
01255,134222455.0,2914729,51.824,1.125,42.107496,-73.118607,915.0
01256,92878793.0,452282,35.861,0.175,42.594166,-73.02232,692.0
01257,93810157.0,2222467,36.22,0.858,42.085244,-73.367483,2121.0
01258,66892284.0,399783,25.827,0.154,42.10928,-73.462886,374.0
01259,65561659.0,2041637,25.313,0.788,42.075469,-73.234376,635.0
01260,6503634.0,101867,2.511,0.039,42.295696,-73.342543,240.0
01262,31175833.0,2127512,12.037,0.821,42.292202,-73.319209,1238.0
01264,29375249.0,90081,11.342,0.035,42.23159,-73.202428,137.0
01266,67478485.0,780826,26.054,0.301,42.312354,-73.388044,1463.0
01267,141208669.0,342264,54.521,0.132,42.671617,-73.246981,7989.0
01270,82502022.0,420999,31.854,0.163,42.515272,-73.031166,778.0
01301,66034130.0,1397303,25.496,0.54,42.626761,-72.60153,17700.0
01330,86289951.0,631865,33.317,0.244,42.513947,-72.821517,1506.0
01331,137853121.0,3588216,53.225,1.385,42.562408,-72.19108,13263.0
01337,96461580.0,158967,37.244,0.061,42.689308,-72.582249,2596.0
01338,8939561.0,12299,3.452,0.005,42.572604,-72.824306,187.0
01339,142261831.0,627962,54.928,0.242,42.603776,-72.889644,1438.0
01340,113408743.0,665699,43.787,0.257,42.694731,-72.710956,1701.0
01341,92494679.0,446652,35.712,0.172,42.496937,-72.709414,1833.0
01342,46225730.0,2181543,17.848,0.842,42.543889,-72.609458,1492.0
