[A]행정구역별(시군구),행정구역별(시군구),[V]직업별,시점,취업인구-현거주지,취업인구-근무지
21020,서구,1,2015년,511,398
21020,서구,2,2015년,9060,11604
21020,서구,3,2015년,6974,7668
21020,서구,4,2015년,6549,5514
21020,서구,5,2015년,7385,5333
21020,서구,6,2015년,255,299
21020,서구,7,2015년,5373,3503
21020,서구,8,2015년,5114,3184
21020,서구,9,2015년,6678,5666
21020,서구,10,2015년,6,9
21030,동구,0,2015년,38928,60847
21030,동구,1,2015년,388,713
21030,동구,2,2015년,5826,10927
21030,동구,3,2015년,5909,14166
21030,동구,4,2015년,5389,6899
21030,동구,5,2015년,6337,13282
21030,동구,6,2015년,78,66
21030,동구,7,2015년,4834,5240
21030,동구,8,2015년,4181,3396
21030,동구,9,2015년,5969,6158
21030,동구,10,2015년,17,
21040,영도구,0,2015년,52186,45509
21040,영도구,1,2015년,340,402
21040,영도구,2,2015년,8085,8369
21040,영도구,3,2015년,8319,6805
21040,영도구,4,2015년,6747,5627
21040,영도구,5,2015년,6839,4448
21040,영도구,6,2015년,227,220
21040,영도구,7,2015년,8490,8986
21040,영도구,8,2015년,7013,5927
21040,영도구,9,2015년,6090,4627
21040,영도구,10,2015년,36,98
21050,부산진구,0,2015년,170817,162977
21050,부산진구,1,2015년,1585,1761
21050,부산진구,2,2015년,31056,32538
21050,부산진구,3,2015년,32344,28901
21050,부산진구,4,2015년,20500,22343
21050,부산진구,5,2015년,27852,33647
21050,부산진구,6,2015년,178,104
21050,부산진구,7,2015년,18162,14765
21050,부산진구,8,2015년,19474,11042
21050,부산진구,9,2015년,19564,17814
21050,부산진구,10,2015년,102,62
21060,동래구,0,2015년,120030,90960
21060,동래구,1,2015년,1327,1030
21060,동래구,2,2015년,26255,21861
21060,동래구,3,2015년,23118,14103
21060,동래구,4,2015년,14089,12780
21060,동래구,5,2015년,16587,14315
21060,동래구,6,2015년,208,99
21060,동래구,7,2015년,13026,9607
21060,동래구,8,2015년,12298,6009
21060,동래구,9,2015년,12897,11122
21060,동래구,10,2015년,225,34
21070,남구,0,2015년,120456,92789
21070,남구,1,2015년,1100,822
21070,남구,2,2015년,24275,20944
21070,남구,3,2015년,23223,16795
21070,남구,4,2015년,13597,12000
21070,남구,5,2015년,18773,11348
21070,남구,6,2015년,196,158
21070,남구,7,2015년,11925,8531
21070,남구,8,2015년,12652,9602
21070,남구,9,2015년,14118,11593
21070,남구,10,2015년,597,996
21080,북구,0,2015년,131488,71554
21080,북구,1,2015년,1314,691
21080,북구,2,2015년,24022,16765
21080,북구,3,2015년,24847,10476
21080,북구,4,2015년,13008,9340
21080,북구,5,2015년,17057,10451
21080,북구,6,2015년,501,166
21080,북구,7,2015년,15530,7731
21080,북구,8,2015년,20398,6310
21080,북구,9,2015년,14739,9609
21080,북구,10,2015년,72,15
21090,해운대구,0,2015년,178412,147858
21090,해운대구,1,2015년,2531,2106
21090,해운대구,2,2015년,42425,35210
21090,해운대구,3,2015년,33839,24413
21090,해운대구,4,2015년,21306,22038
21090,해운대구,5,2015년,24776,23585
21090,해운대구,6,2015년,646,443
21090,해운대구,7,2015년,16631,11580
21090,해운대구,8,2015년,17844,10377
21090,해운대구,9,2015년,18087,17828
21090,해운대구,10,2015년,327,278
21100,사하구,0,2015년,152160,124630
21100,사하구,1,2015년,1243,1001
21100,사하구,2,2015년,24866,21742
21100,사하구,3,2015년,28452,19662
21100,사하구,4,2015년,15883,13793
21100,사하구,5,2015년,18140,13471
21100,사하구,6,2015년,646,435
21100,사하구,7,2015년,17987,15167
21100,사하구,8,2015년,28512,24310
21100,사하구,9,2015년,16336,15017
21100,사하구,10,2015년,95,32
21110,금정구,0,2015년,105469,90611
21110,금정구,1,2015년,1672,1124
21110,금정구,2,2015년,24265,20718
21110,금정구,3,2015년,18537,13801
21110,금정구,4,2015년,12475,11761
21110,금정구,5,2015년,13230,11611
21110,금정구,6,2015년,533,379
21110,금정구,7,2015년,10667,10166
21110,금정구,8,2015년,13333,11096
21110,금정구,9,2015년,10704,9926
21110,금정구,10,2015년,53,29
21120,강서구,0,2015년,42763,123402
21120,강서구,1,2015년,353,1159
21120,강서구,2,2015년,7357,13844
21120,강서구,3,2015년,7238,26849
21120,강서구,4,2015년,3355,5980
21120,강서구,5,2015년,3905,8613
21120,강서구,6,2015년,3516,4178
21120,강서구,7,2015년,4148,16314
21120,강서구,8,2015년,6988,33576
21120,강서구,9,2015년,5468,12246
21120,강서구,10,2015년,435,643
21130,연제구,0,2015년,91334,83972
21130,연제구,1,2015년,1067,896
21130,연제구,2,2015년,19406,18408
21130,연제구,3,2015년,18934,19775
21130,연제구,4,2015년,11094,10796
21130,연제구,5,2015년,12784,12892
21130,연제구,6,2015년,174,182
21130,연제구,7,2015년,9290,7174
21130,연제구,8,2015년,8667,5055
21130,연제구,9,2015년,9816,8745
21130,연제구,10,2015년,102,49
21140,수영구,0,2015년,78636,55776
21140,수영구,1,2015년,1317,708
21140,수영구,2,2015년,18548,13265
21140,수영구,3,2015년,15114,8395
21140,수영구,4,2015년,9878,8479
21140,수영구,5,2015년,12644,8620
21140,수영구,6,2015년,200,149
21140,수영구,7,2015년,6618,5563
21140,수영구,8,2015년,6147,3865
21140,수영구,9,2015년,7964,6687
21140,수영구,10,2015년,206,45
21150,사상구,0,2015년,109625,131506
21150,사상구,1,2015년,509,1052
21150,사상구,2,2015년,15240,17309
21150,사상구,3,2015년,17427,23718
21150,사상구,4,2015년,11233,12333
21150,사상구,5,2015년,14246,19300
21150,사상구,6,2015년,414,122
21150,사상구,7,2015년,14471,15966
21150,사상구,8,2015년,23436,28000
21150,사상구,9,2015년,12625,13699
21150,사상구,10,2015년,24,7
21310,기장군,0,2015년,64273,66123
21310,기장군,1,2015년,458,571
21310,기장군,2,2015년,11688,11813
21310,기장군,3,2015년,9688,9431
21310,기장군,4,2015년,7837,7289
21310,기장군,5,2015년,7739,7056
21310,기장군,6,2015년,2447,2633
21310,기장군,7,2015년,6934,6750
21310,기장군,8,2015년,9747,12543
21310,기장군,9,2015년,7721,8032
21310,기장군,10,2015년,14,5
22,대구광역시,0,2015년,1081625,993519
22,대구광역시,1,2015년,15336,12881
22,대구광역시,2,2015년,224609,204606
22,대구광역시,3,2015년,176107,158065
22,대구광역시,4,2015년,117067,112804
22,대구광역시,5,2015년,143910,140499
22,대구광역시,6,2015년,12277,9110
22,대구광역시,7,2015년,110764,102019
22,대구광역시,8,2015년,161524,140754
22,대구광역시,9,2015년,115971,109052
22,대구광역시,10,2015년,4060,3729
22003,동부,0,2015년,994187,872613
22003,동부,1,2015년,14876,11714
22003,동부,2,2015년,210804,186940
22003,동부,3,2015년,162763,139714
22003,동부,4,2015년,109363,102115
22003,동부,5,2015년,136246,130995
22003,동부,6,2015년,7452,3820
22003,동부,7,2015년,102599,89395
22003,동부,8,2015년,139657,109572
22003,동부,9,2015년,106445,94751
22003,동부,10,2015년,3982,3597
22004,읍부,0,2015년,62739,56321
22004,읍부,1,2015년,350,472
22004,읍부,2,2015년,10731,9058
22004,읍부,3,2015년,10394,8417
22004,읍부,4,2015년,5344,4735
22004,읍부,5,2015년,6037,3926
22004,읍부,6,2015년,1598,1359
22004,읍부,7,2015년,6112,6151
22004,읍부,8,2015년,16099,16453
22004,읍부,9,2015년,6014,5724
22004,읍부,10,2015년,60,26
22005,면부,0,2015년,24699,34626
22005,면부,1,2015년,110,308
22005,면부,2,2015년,3074,4353
22005,면부,3,2015년,2950,5254
22005,면부,4,2015년,2360,2636
22005,면부,5,2015년,1627,1712
22005,면부,6,2015년,3227,3353
22005,면부,7,2015년,2053,3691
22005,면부,8,2015년,5768,9025
22005,면부,9,2015년,3512,4286
22005,면부,10,2015년,18,8
22010,중구,0,2015년,35942,84663
22010,중구,1,2015년,552,1141
22010,중구,2,2015년,8229,17512
22010,중구,3,2015년,5538,15265
22010,중구,4,2015년,4547,9880
22010,중구,5,2015년,6770,24130
22010,중구,6,2015년,132,140
22010,중구,7,2015년,3130,5470
22010,중구,8,2015년,3018,4218
22010,중구,9,2015년,3865,6849
22010,중구,10,2015년,161,58
22020,동구,0,2015년,147807,121648
22020,동구,1,2015년,2157,1739
22020,동구,2,2015년,29653,25634
22020,동구,3,2015년,22427,18341
22020,동구,4,2015년,17183,14592
22020,동구,5,2015년,19396,15960
22020,동구,6,2015년,2081,1430
22020,동구,7,2015년,15846,13834
22020,동구,8,2015년,18207,11904
22020,동구,9,2015년,19189,16236
22020,동구,10,2015년,1668,1978
22030,서구,0,2015년,92567,79912
22030,서구,1,2015년,480,760
22030,서구,2,2015년,11777,10799
22030,서구,3,2015년,10724,10810
22030,서구,4,2015년,10728,8855
22030,서구,5,2015년,12276,10675
22030,서구,6,2015년,397,117
22030,서구,7,2015년,14940,12901
22030,서구,8,2015년,18341,15119
22030,서구,9,2015년,12857,9858
22030,서구,10,2015년,47,18
