SIG_CD,SIG_KOR_NM,area
46830,영암군,583339792.5608054
46870,영광군,472579797.4327007
46790,화순군,787550523.5056232
46780,보성군,663817349.274597
46820,해남군,921523251.7894921
46880,장성군,517905117.046065
46800,장흥군,615525479.68376
46860,함평군,389208655.0073908
46840,무안군,452140041.34989876
46150,순천시,909048926.6748142
46710,담양군,453178248.702595
46110,목포시,51276634.09397724
46130,여수시,500834917.58222765
45180,정읍시,697149907.2984713
45790,고창군,606493011.5443848
45740,장수군,531666902.80277413
45140,익산시,507034177.67923033
45800,부안군,492777910.75659263
45750,임실군,596157448.6503122
45190,남원시,749675375.7421803
45113,전주시 덕진구,110773201.88203436
45710,완주군,821364379.5413215
45111,전주시 완산구,94148413.78216214
45770,순창군,499412389.4676089
45720,진안군,788343099.6814474
45730,무주군,629529060.2641762
45130,군산시,388686087.85065264
45210,김제시,543873333.5312474
50130,서귀포시,868696549.6126801
50110,제주시,976851092.8155309
44200,아산시,542654302.8327948
44150,공주시,863175831.4013244
44790,청양군,479353528.10034204
44760,부여군,624080375.5781564
44810,예산군,543161350.6923114
44230,논산시,553469845.2224137
44770,서천군,357397577.51839155
44710,금산군,576206124.8005041
44270,당진시,701547704.5079594
44180,보령시,569983231.0026484
44250,계룡시,60762525.19455934
44210,서산시,739376582.8636167
44800,홍성군,443147762.53162557
44825,태안군,504842893.41920084
44131,천안시 동남구,438324760.4430521
44133,천안시 서북구,197878576.010528
43720,보은군,583202004.9720345
43740,영동군,852017844.4674324
43130,충주시,980818169.4373444
43770,음성군,519019163.14777905
43750,진천군,407806391.2731862
43730,옥천군,541224543.8067709
43150,제천시,881998903.3838611
43745,증평군,81829999.24010584
43114,청주시 청원구,214647488.78698087
43112,청주시 서원구,123151484.30277354
43111,청주시 상당구,403054866.5794743
43113,청주시 흥덕구,198738309.37677655
43760,괴산군,841575096.103175
43800,단양군,779817336.8065574
